kind animation left top right bottom centerx centery
2 0 30 16 54 48 12 32
2 0 66 16 90 48 12 32
2 1 66 16 90 48 12 32
2 1 113 5 129 48 8 43
3 0 212 15 228 47 8 32
3 0 233 15 249 47 8 32
4 0 341 17 356 49 8 32
4 0 366 17 382 49 8 32
4 1 416 17 440 49 12 32
4 1 447 17 467 49 10 32
5 0 561 16 585 48 12 32
5 0 590 16 614 48 12 32
5 1 627 8 643 48 8 40
5 1 561 16 585 48 12 32
6 0 35 112 66 126 16 14
6 0 76 111 100 126 12 15
7 0 200 99 224 124 12 25
7 0 230 99 254 124 12 25
8 0 354 99 370 115 8 16
8 0 381 84 398 109 9 25
9 0 328 147 366 201 19 54
9 1 284 153 318 201 17 48
10 0 549 171 565 187 8 8
10 0 510 160 540 198 15 19
10 1 549 171 565 187 8 8
10 1 595 167 627 199 16 16
