id left_bmp bottom_bmp width height
0 0 133 6 60
1 6 139 252 6
2 257 109 161 6
500 274 103 139 6
501 273 103 140 6
700 539 72 16 6
701 653 41 15 7
502 872 106 16 7
800 764 94 159 90
200 1061 136 19 6
3 418 77 162 6
4 576 46 156 6
5 804 144 26 7
6 865 114 26 7
7 930 80 27 7
8 959 143 133 6
9 1059 78 29 4
10 1158 146 88 7
11 1098 47 82 6
12 1219 49 91 7
13 1283 113 57 7
14 1379 145 60 6
15 1474 113 60 7
16 1313 79 290 6
17 1604 47 153 6
18 1570 146 122 6
19 1825 145 30 7
20 1857 78 31 4
21 1891 48 60 6
22 1984 111 31 7
23 2048 113 98 6
24 2148 80 89 7
25 2239 144 100 6
26 2338 112 60 6
27 2399 144 99 7
28 2497 111 92 6
29 2591 143 68 7
30 2657 111 65 7
31 2724 79 154 6
32 2945 143 124 6
201 1158 42 20 7
503 1164 139 74 6
504 1163 139 76 6
505 1898 42 46 7
506 2955 137 88 6
600 2731 73 137 6
702 1490 106 28 6
703 2079 107 19 7
704 2286 138 18 7
705 2475 138 17 8
706 2686 104 19 7
801 1317 62 279 60
802 1316 63 280 62
803 2243 94 184 91
804 2508 91 207 90
805 2892 124 144 118
300 1606 41 147 6
301 1609 41 145 6
302 1318 73 279 7
100 1095 134 7 85
101 1893 159 6 111
1100 346 72 25 25
1101 437 41 27 25
1102 702 23 24 24
1103 1002 44 25 24
1104 1140 100 23 23
1105 1375 42 25 23
1106 1522 35 27 24
1107 1672 94 29 24
1108 1812 104 28 24
1109 2061 55 26 24
1110 2180 40 25 22
1111 2354 72 27 24
1112 2501 69 26 26
1113 2605 58 26 23
1114 2819 46 27 25
1200 0 135 6 60
1300 3053 137 6 60
1400 222 175 2762 7
